date,production,total removals,stocks end of month,Industry,barrels of 31 gallons
01-10-84,15139571,14556012,13735294,,
01-11-84,13060235,12615249,12846244,,
01-12-84,12893085,11600935,12864892,,
01-01-85,15494561,13737336,13714930,,
01-02-85,14462213,12938432,14176192,,
01-03-85,16756546,14769431,14968049,,
01-04-85,17974019,16080800,15206624,,
01-05-85,18857579,17947591,14899827,,
01-06-85,18232363,16572757,15239630,,
01-07-85,18585887,16982188,14965738,,
01-08-85,17712134,16351292,13930570,,
01-09-85,13591227,,,,
01-10-85,14357584,14305445,13226784,,
01-11-85,13114565,12627271,13118822,,
01-12-85,,,,,
01-01-86,15713789,14220418,13475471,,
01-02-86,,,,,
01-03-86,16503046,14869044,14680270,,
01-04-86,17991335,16283952,15243253,,
01-05-86,18669626,17391213,15126371,,
01-06-86,18647539,16915392,15374515,,
01-07-86,18326617,17590274,15225489,,
01-08-86,,,,,
01-09-86,15263513,14307265,14058392,,
01-10-86,,,,,
01-11-86,,,,,
01-12-86,,,,,
01-01-87,,,,,
01-02-87,,,,,
01-03-87,,,,,
01-04-87,,,,,
01-05-87,,,,,
01-06-87,,,,,
01-07-87,,,,,
01-08-87,,,,,
01-09-87,,,,,
01-10-87,15496118,14820264,13664850,,
01-11-87,13182897,12880351,12849894,,
01-12-87,13686422,12608242,12944479,,
01-01-88,15801094,14051375,13468625,,
01-02-88,15849655,14211591,13849750,,
01-03-88,17124998,15566724,14116933,,
01-04-88,17727749,15549947,15128184,,
01-05-88,18308148,16840709,15248359,,
01-06-88,18582504,17389110,14948588,,
01-07-88,18169981,16795900,14884383,,
01-08-88,17723598,16604687,14322296,,
01-09-88,15454450,14368861,13682699,,
01-10-88,15608380,14386614,14153268,,
01-11-88,14018873,13501932,13468021,,
01-12-88,13320942,12513038,13230044,,
01-01-89,15876086,14286586,13377164,,
01-02-89,15291110,13489631,13843135,,
01-03-89,17567396,15794022,14244128,,
01-04-89,17297227,15204716,14985951,,
01-05-89,18405013,17145125,14723414,,
01-06-89,18749665,17471036,14353307,,
01-07-89,18279937,16608843,14602041,,
01-08-89,18351413,17788363,14328877,,
01-09-89,15282341,15056167,13556364,,
01-10-89,15823924,14657675,13063961,,
01-11-89,14775614,13771120,12863886,,
01-12-89,13446343,12374001,14602041,,
01-01-90,16457991,14518828,13529131,,
01-02-90,15742830,13709786,14280088,,
01-03-90,17966679,16230021,14493852,,
01-04-90,17474029,15636589,15095326,,
01-05-90,18099392,17287232,14911083,,
01-06-90,18578413,17320932,14980149,,
01-07-90,18241760,17413696,14569518,,
01-08-90,18958651,17786982,14241708,,
01-09-90,16083167,15076499,13060311,,
01-10-90,16617769,15768284,13873708,,
01-11-90,15440260,14598174,13345236,,
01-12-90,13969632,13536289,12673825,,
01-01-91,16275405,14101625,13543561,,
01-02-91,15169476,13477353,14106152,,
01-03-91,16085098,14680685,14152961,,
01-04-91,17227786,15210520,15011149,,
01-05-91,18900450,17298629,14911949,,
01-06-91,19163597,17500826,14991675,,
01-07-91,19881566,18320845,14961861,,
01-08-91,18626714,17855291,14274265,,
01-09-91,16114533,14845688,14032943,,
01-10-91,,,,,
01-11-91,14470174,13823228,13233879,,
01-12-91,13640697,13074735,12642754,,
01-01-92,15649297,13779279,13293999,,
01-02-92,16098795,13946794,16000614,,
01-03-92,18063497,16023466,14786286,,
01-04-92,18003411,16071463,15289539,,
01-05-92,18892400,17052686,15453452,,
01-06-92,18947906,17937472,15383651,,
01-07-92,18344825,17391143,14988605,,
01-08-92,17546805,16478270,14504591,,
01-09-92,15664428,15194942,13399452,,
01-10-92,16150935,14837595,13411575,,
01-11-92,14431268,13622099,13070173,,
01-12-92,14318259,13683464,12500127,,
01-01-93,15357449,13296241,13657666,,
01-02-93,15782331,13433108,14446527,,
01-03-93,17412141,15834186,14935679,,
01-04-93,17437384,15814414,15143103,,
01-05-93,18874555,17042139,15566803,,
01-06-93,18956086,18235066,14802138,,
01-07-93,18509990,17319173,14072753,,
01-08-93,18496820,17173454,14314839,,
01-09-93,16142324,15598648,13714583,,
01-10-93,15848331,14440371,15911439,,
01-11-93,14909273,14002078,13734305,,
01-12-93,14511169,13988978,12894365,,
01-01-94,15891079,13743454,13913928,,
01-02-94,14150349,13482257,13164267,,
01-03-94,17699957,15418837,14071872,,
01-04-94,17781462,15563912,15139950,,
01-05-94,19494895,17123391,15609753,,
01-06-94,19206227,18396145,15021959,,
01-07-94,18822636,17169003,15040201,,
01-08-94,18496116,17663371,14632958,,
01-09-94,15592725,15239178,13452822,,
01-10-94,15659621,13222231,13662216,,
01-11-94,14295702,13296580,12639260,,
01-12-94,13861334,13797103,12466736,,
01-01-95,16329927,14171757,13491904,,
01-02-95,13664895,13249295,12139132,,
01-03-95,17447837,15457603,14524336,,
01-04-95,17049804,14916539,15347204,,
01-05-95,18871010,17024541,13728924,,
01-06-95,18762076,18374560,14316204,,
01-07-95,,,,,
01-08-95,18819013,17773877,14178235,,
01-09-95,15703405,15764742,13524378,,
01-10-95,15734972,14782741,13456755,,
01-11-95,14442098,13883938,12811994,,
01-12-95,13262997,12107086,13915118,,
01-01-96,15819971,14104953,12797778,,
01-02-96,15096794,13459093,13883852,,
01-03-96,18240384,15271574,15097651,,
01-04-96,17869597,15962372,15439103,,
